title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age,mileage_per_year,brand_frequency,model_frequency,price_band
Toyota Fielder 40th anniversary 2005,Toyota,Fielder,Automatic,"Octane, LPG",1295000,2005,1500.0,93000,21,4428.571428571428,0.8884228187919463,0.057885906040268456,Low
Toyota Allion Super FreshCondition 2010,Toyota,Allion,Automatic,"Octane, LPG",2130000,2010,1500.0,76000,16,4750.0,0.8884228187919463,0.03120805369127517,Low
Toyota Axio Fresh condition 2010,Toyota,Axio,Automatic,"CNG, Octane",1480000,2010,1500.0,92000,16,5750.0,0.8884228187919463,0.10939597315436242,Low
Toyota Axio Doctor used 2013,Toyota,Axio,Automatic,"Octane, LPG",1680000,2013,1500.0,87000,13,6692.307692307692,0.8884228187919463,0.10939597315436242,Low
Hyundai Dagon Jeep 2004,Hyundai,Other Model,Automatic,"Octane, LPG",1200000,2004,3497.0,500000,22,22727.272727272728,0.0028523489932885905,0.005369127516778523,Low
Toyota Noah Sparky 2000,Toyota,Noah,Automatic,Octane,530000,2000,1299.0,150000,26,5769.2307692307695,0.8884228187919463,0.10671140939597315,Low
Mahindra Jeep 2017,Mahindra,Other Model,Automatic,Diesel,995000,2017,1500.0,60000,9,6666.666666666667,0.0003355704697986577,0.005369127516778523,Low
Toyota Prado Land Cruiser TX 2017,Toyota,Prado,Automatic,Octane,10900001,2017,2700.0,52291,9,5810.111111111111,0.8884228187919463,0.013926174496644295,Luxury
DFSK Glory I-Auto 2020,DFSK,Glory I-Auto,Automatic,"Octane, LPG",2300000,2020,1500.0,35500,6,5916.666666666667,0.0005033557046979866,0.0003355704697986577,Low
Toyota Sienta HYBRID 2016,Toyota,Sienta,Automatic,"Hybrid, Octane",1850000,2016,1500.0,67000,10,6700.0,0.8884228187919463,0.009228187919463088,Low
Toyota Sienta G QUERO TV 2020,Toyota,Sienta,Automatic,Hybrid,2750000,2020,1500.0,69000,6,11500.0,0.8884228187919463,0.009228187919463088,Medium
Toyota Axio EX PUSH START 2020,Toyota,Axio,Automatic,Hybrid,2550000,2020,1500.0,39000,6,6500.0,0.8884228187919463,0.10939597315436242,Medium
Toyota Prius A PREMIUM 2020,Toyota,Prius,Automatic,Hybrid,3250000,2020,1800.0,21000,6,3500.0,0.8884228187919463,0.029865771812080538,Medium
Toyota Voxy SZ 2023,Toyota,Voxy,Automatic,Hybrid,4800000,2023,1800.0,41000,3,13666.666666666666,0.8884228187919463,0.027348993288590605,Luxury
Toyota Corolla WXB BODYKIT 4 2021,Toyota,Corolla,Automatic,Hybrid,3400000,2021,1800.0,61000,5,12200.0,0.8884228187919463,0.04848993288590604,High
Toyota Harrier z leather 5 2021,Toyota,Harrier,Automatic,"Petrol, Octane",8190000,2021,2000.0,38000,5,7600.0,0.8884228187919463,0.03976510067114094,Luxury
Toyota Corolla Cross 2023,Toyota,Corolla Cross,Automatic,Octane,5300000,2023,1800.0,18,3,6.0,0.8884228187919463,0.07097315436241611,Luxury
Toyota Corolla AE 101 1993,Toyota,Corolla,Automatic,"CNG, Octane",480000,1993,1331.0,150000,33,4545.454545454545,0.8884228187919463,0.04848993288590604,Low
Toyota Premio FL PKG Octane 2015,Toyota,Premio,Automatic,Octane,2695000,2015,1500.0,81000,11,7363.636363636364,0.8884228187919463,0.05285234899328859,Medium
Toyota Allion G 2016,Toyota,Allion,Automatic,Octane,3070000,2016,1500.0,61000,10,6100.0,0.8884228187919463,0.03120805369127517,Medium
Toyota Land Cruiser V8 2004,Toyota,Land Cruiser,Automatic,"Petrol, Octane",7000000,2004,4600.0,10000,22,454.54545454545456,0.8884228187919463,0.008557046979865772,Luxury
Toyota Allion . 2010,Toyota,Allion,Automatic,Octane,2080000,2010,1500.0,85306,16,5331.625,0.8884228187919463,0.03120805369127517,Low
Nissan X-Trail 2018,Nissan,X-Trail,Automatic,"Hybrid, Octane",2490000,2023,2000.0,110000,3,36666.666666666664,0.02365771812080537,0.015436241610738255,Medium
Toyota Kluger . 2005,Toyota,Kluger,Automatic,"Octane, LPG",2080000,2005,2400.0,87814,21,4181.619047619048,0.8884228187919463,0.0008389261744966443,Low
Land Rover Defender 1993,Land Rover,Defender,Automatic,Diesel,1850000,1993,2500.0,78000,33,2363.6363636363635,0.00016778523489932885,0.00016778523489932885,Low
Toyota Esquire GI PREMIUM 2014,Toyota,Esquire,Automatic,Octane,3500000,2014,2000.0,137000,12,11416.666666666666,0.8884228187919463,0.05855704697986577,High
Nissan X-Trail . 2015,Nissan,X-Trail,Automatic,Hybrid,2300000,2015,2000.0,85000,11,7727.272727272727,0.02365771812080537,0.015436241610738255,Low
Toyota Premio Fex 2013,Toyota,Premio,Automatic,"Octane, LPG",2420000,2013,1500.0,72000,13,5538.461538461538,0.8884228187919463,0.05285234899328859,Medium
Toyota Allion . 2014,Toyota,Allion,Automatic,Octane,2430000,2014,1500.0,77849,12,6487.416666666667,0.8884228187919463,0.03120805369127517,Medium
Toyota Premio auto push start 2014,Toyota,Premio,Automatic,"Octane, LPG",2550000,2014,1500.0,75000,12,6250.0,0.8884228187919463,0.05285234899328859,Medium
Toyota Allion octane 2012,Toyota,Allion,Automatic,Octane,2085000,2012,1500.0,67000,14,4785.714285714285,0.8884228187919463,0.03120805369127517,Low
Toyota Corolla Fresh 2004,Toyota,Corolla,Automatic,"CNG, Octane",1230000,2004,1500.0,95000,22,4318.181818181818,0.8884228187919463,0.04848993288590604,Low
Toyota Fielder Ex Push Start New 2020,Toyota,Fielder,Automatic,"Hybrid, Octane",2370000,2020,1500.0,58000,6,9666.666666666666,0.8884228187919463,0.057885906040268456,Medium
Toyota Axio Ex Hybrid Push Start 2020,Toyota,Axio,Automatic,"Hybrid, Octane",2290000,2020,1500.0,73000,6,12166.666666666666,0.8884228187919463,0.10939597315436242,Low
Toyota Premio G PAKAGE 2012,Toyota,Premio,Automatic,"Petrol, LPG",2330000,2012,1500.0,85000,14,6071.428571428572,0.8884228187919463,0.05285234899328859,Low
Toyota Corolla Fielder New Shape 2006,Toyota,Corolla,Automatic,"CNG, Octane",1290000,2006,1500.0,69114,20,3455.7,0.8884228187919463,0.04848993288590604,Low
Hyundai Sonata Luxury Sunroof 2016,Hyundai,Sonata,Automatic,Octane,2350000,2016,2000.0,26000,10,2600.0,0.0028523489932885905,0.0010067114093959733,Medium
Toyota Fielder 2018 G package,Toyota,Fielder,Automatic,Hybrid,2050000,2018,1500.0,123500,8,15437.5,0.8884228187919463,0.057885906040268456,Low
Toyota Fielder X LIMITED 2003,Toyota,Fielder,Automatic,"CNG, Octane",1050000,2003,1500.0,98320,23,4274.782608695652,0.8884228187919463,0.057885906040268456,Low
Toyota Corolla AE110 1996,Toyota,Corolla,Automatic,"CNG, Octane",580000,1996,1500.0,112520,30,3750.6666666666665,0.8884228187919463,0.04848993288590604,Low
Toyota Allion Push Start 2010,Toyota,Allion,Automatic,"CNG, Octane",1965000,2010,1500.0,89000,16,5562.5,0.8884228187919463,0.03120805369127517,Low
Toyota Corolla 110 Reveri Saloom 2000,Toyota,Corolla,Automatic,"CNG, Octane",695000,2000,1500.0,100000,26,3846.153846153846,0.8884228187919463,0.04848993288590604,Low
Toyota Wagon 100  2000,Toyota,Wagon 100,Automatic,"CNG, Octane",440000,2000,1331.0,80000,26,3076.923076923077,0.8884228187919463,0.0008389261744966443,Low
Toyota Probox . 2004,Toyota,Probox,Automatic,"CNG, Octane",655000,2004,1500.0,120000,22,5454.545454545455,0.8884228187919463,0.00436241610738255,Low
Honda Civic JDM 2018,Honda,Civic,Automatic,Octane,3200000,2018,1500.0,47500,8,5937.5,0.0424496644295302,0.003355704697986577,Medium
Toyota Premio G 2004,Toyota,Premio,Automatic,"CNG, Octane",1490000,2004,1500.0,78114,22,3550.6363636363635,0.8884228187919463,0.05285234899328859,Low
Toyota Axio 2010,Toyota,Axio,Automatic,"CNG, Octane",1490000,2015,1500.0,68114,11,6192.181818181818,0.8884228187919463,0.10939597315436242,Low
Toyota Corolla G PERL NEW SHAPE 2006,Toyota,Corolla,Automatic,"CNG, Octane",1350000,2006,1500.0,96521,20,4826.05,0.8884228187919463,0.04848993288590604,Low
Toyota Voxy Hybrid Mica-Blue 2016,Toyota,Voxy,Automatic,"Hybrid, Octane",2480000,2016,1800.0,85252,10,8525.2,0.8884228187919463,0.027348993288590605,Medium
Toyota Corolla X 2006,Toyota,Corolla,Manual,CNG,1250000,2006,1500.0,100000,20,5000.0,0.8884228187919463,0.04848993288590604,Low
Toyota Premio F G Superior 2008,Toyota,Premio,Automatic,"Octane, LPG",1975000,2008,1500.0,91000,18,5055.555555555556,0.8884228187919463,0.05285234899328859,Low
Toyota Axio X Octane Driven 2013,Toyota,Axio,Automatic,Octane,1675000,2013,1500.0,58114,13,4470.307692307692,0.8884228187919463,0.10939597315436242,Low
Toyota Noah X 2012,Toyota,Noah,Automatic,"CNG, Octane",2200000,2012,1998.0,137000,14,9785.714285714286,0.8884228187919463,0.10671140939597315,Low
Toyota Prius S Touring 2016,Toyota,Prius,Automatic,"Hybrid, Octane",2380000,2016,1800.0,132000,10,13200.0,0.8884228187919463,0.029865771812080538,Medium
Nissan X-Trail Premium 2015,Nissan,X-Trail,Automatic,Octane,2490000,2015,2000.0,70000,11,6363.636363636364,0.02365771812080537,0.015436241610738255,Medium
Toyota Premio FEX PackageFacelift 2014,Toyota,Premio,Automatic,Octane,2700000,2014,1500.0,72345,12,6028.75,0.8884228187919463,0.05285234899328859,Medium
Toyota Prado Auto Sunroof 2000,Toyota,Prado,Automatic,"Octane, LPG",1780000,2000,2700.0,75540,26,2905.3846153846152,0.8884228187919463,0.013926174496644295,Low
Toyota Land Cruiser Prado with Sunroof 2004,Toyota,Land Cruiser,Automatic,Octane,2950000,2004,2700.0,73538,22,3342.6363636363635,0.8884228187919463,0.008557046979865772,Medium
Toyota Harrier Z leather Package 2020,Toyota,Harrier,Automatic,"Petrol, Hybrid, Octane",7400000,2020,2500.0,88000,6,14666.666666666666,0.8884228187919463,0.03976510067114094,Luxury
Toyota Prius CX 7 Seat 2015,Toyota,Prius,Automatic,Hybrid,2090000,2015,1800.0,72000,11,6545.454545454545,0.8884228187919463,0.029865771812080538,Low
Toyota Corolla .G 2002,Toyota,Corolla,Automatic,"CNG, Octane",910000,2002,1500.0,150000,24,6250.0,0.8884228187919463,0.04848993288590604,Low
Audi A3 2008,Audi,A3,Automatic,"Petrol, Octane",3600000,2008,1390.0,5500,18,305.55555555555554,0.0010067114093959733,0.00016778523489932885,High
Toyota ist G 2003,Toyota,ist,Automatic,"CNG, Octane",810000,2003,1300.0,69000,23,3000.0,0.8884228187919463,0.002181208053691275,Low
Honda Vezel jat package 2014,Honda,Vezel,Automatic,"Hybrid, Octane",1560000,2014,1500.0,59000,12,4916.666666666667,0.0424496644295302,0.006711409395973154,Low
Toyota Corolla 100 STATION WAGON 1996,Toyota,Corolla,Automatic,"Octane, LPG",295000,1996,1331.0,170000,30,5666.666666666667,0.8884228187919463,0.04848993288590604,Low
Toyota Starlet soliel 1995,Toyota,Starlet,Automatic,"CNG, Octane",450000,1995,1331.0,120458,31,3885.7419354838707,0.8884228187919463,0.0050335570469798654,Low
Toyota Corolla 100 STATION WAGON 2003,Toyota,Corolla,Automatic,"CNG, Octane",465000,2003,1500.0,176120,23,7657.391304347826,0.8884228187919463,0.04848993288590604,Low
Toyota Corolla 100 SPRINTER 1991,Toyota,Corolla,Automatic,"CNG, Octane",370000,1991,1500.0,159406,35,4554.457142857143,0.8884228187919463,0.04848993288590604,Low
Honda CR-V Sun Roof 2002,Honda,CR-V,Automatic,Octane,1095000,2002,2000.0,127861,24,5327.541666666667,0.0424496644295302,0.011241610738255034,Low
Honda H-RV Hard Jeep 2004,Honda,H-RV,Automatic,"CNG, Octane",630000,2004,1600.0,162390,22,7381.363636363636,0.0424496644295302,0.00016778523489932885,Low
Toyota Hiace GL 2018,Toyota,Hiace,Automatic,"CNG, Octane",3100000,2018,2000.0,164601,8,20575.125,0.8884228187919463,0.09429530201342282,Medium
Nissan X-Trail Octane Drive 2010,Nissan,X-Trail,Automatic,Octane,1650000,2010,2000.0,65000,16,4062.5,0.02365771812080537,0.015436241610738255,Low
Nissan X-Trail 7Seater Sunroof 2016,Nissan,X-Trail,Automatic,Octane,3180000,2016,2000.0,48000,10,4800.0,0.02365771812080537,0.015436241610738255,Medium
Toyota Corolla X 2006,Toyota,Corolla,Automatic,"CNG, Octane",1300000,2006,1500.0,94000,20,4700.0,0.8884228187919463,0.04848993288590604,Low
Honda HR-V MTORS 2021,Honda,HR-V,Automatic,Octane,3095000,2021,1500.0,31000,5,6200.0,0.0424496644295302,0.00016778523489932885,Medium
Toyota Corolla G New shape 2005,Toyota,Corolla,Automatic,"CNG, Octane",1250000,2005,1500.0,96000,21,4571.428571428572,0.8884228187919463,0.04848993288590604,Low
Hyundai Sonata Full Fresh Sunroof 2012,Hyundai,Sonata,Automatic,Octane,1650000,2012,2000.0,79078,14,5648.428571428572,0.0028523489932885905,0.0010067114093959733,Low
Toyota Corolla 2005,Toyota,Corolla,Automatic,"CNG, Octane",1270000,2008,1500.0,150000,18,8333.333333333334,0.8884228187919463,0.04848993288590604,Low
Toyota Premio FEX 2015,Toyota,Premio,Automatic,Octane,2800000,2015,150.0,60000,11,5454.545454545455,0.8884228187919463,0.05285234899328859,Medium
Toyota Corolla Cross Z Leather Packaga 2021,Toyota,Corolla Cross,Automatic,Octane,4980000,2021,1800.0,36962,5,7392.4,0.8884228187919463,0.07097315436241611,Luxury
Toyota RAV4 . 2004,Toyota,RAV4,Automatic,"Petrol, CNG, Octane",1050000,2004,1998.0,145000,22,6590.909090909091,0.8884228187919463,0.009731543624161074,Low
Toyota Noah 2020,Toyota,Noah,Automatic,Octane,3500000,2020,2000.0,126013,6,21002.166666666668,0.8884228187919463,0.10671140939597315,High
Toyota ist 2005,Toyota,ist,Automatic,Octane,850000,2011,1300.0,65000,15,4333.333333333333,0.8884228187919463,0.002181208053691275,Low
Toyota Allion . 2004,Toyota,Allion,Automatic,"CNG, Octane",1300000,2004,1500.0,146215,22,6646.136363636364,0.8884228187919463,0.03120805369127517,Low
Toyota Axio 2010,Toyota,Axio,Automatic,"CNG, Octane",1460000,2010,1500.0,115360,16,7210.0,0.8884228187919463,0.10939597315436242,Low
Toyota Premio 2014,Toyota,Premio,Automatic,LPG,2550000,2018,1500.0,89000,8,11125.0,0.8884228187919463,0.05285234899328859,Medium
Toyota Noah X 2012,Toyota,Noah,Automatic,"CNG, Octane",2550000,2012,2000.0,89400,14,6385.714285714285,0.8884228187919463,0.10671140939597315,Medium
Toyota Axio 2011,Toyota,Axio,Automatic,"Petrol, CNG",1550000,2017,1500.0,189842,9,21093.555555555555,0.8884228187919463,0.10939597315436242,Low
Toyota Fielder 2014,Toyota,Fielder,Automatic,"Hybrid, Octane",1600000,2014,1500.0,97000,12,8083.333333333333,0.8884228187919463,0.057885906040268456,Low
Nissan X-Trail 7 Seater-Non Hybrid 2016,Nissan,X-Trail,Automatic,Octane,2650000,2016,2000.0,58840,10,5884.0,0.02365771812080537,0.015436241610738255,Medium
Toyota Axio x 2010,Toyota,Axio,Automatic,"CNG, Octane",1370000,2010,1500.0,200000,16,12500.0,0.8884228187919463,0.10939597315436242,Low
Toyota Axio 2008,Toyota,Axio,Automatic,"CNG, Octane",1250000,2012,1500.0,100300,14,7164.285714285715,0.8884228187919463,0.10939597315436242,Low
Toyota Rush 2006,Toyota,Rush,Manual,Octane,1200000,2011,1500.0,120000,15,8000.0,0.8884228187919463,0.0025167785234899327,Low
Toyota Noah Esqure Gi Premium 2018,Toyota,Noah,Automatic,"Hybrid, Octane",3180000,2018,1800.0,71000,8,8875.0,0.8884228187919463,0.10671140939597315,Medium
Nissan X-Trail Mode Premier 2015,Nissan,X-Trail,Automatic,Hybrid,2850000,2015,2000.0,79500,11,7227.272727272727,0.02365771812080537,0.015436241610738255,Medium
Toyota Starlet  1990,Toyota,Starlet,Automatic,"Octane, LPG",380000,1990,1331.0,117000,36,3250.0,0.8884228187919463,0.0050335570469798654,Low
Toyota Noah  2012,Toyota,Noah,Automatic,"Octane, LPG",2150000,2012,2000.0,75259,14,5375.642857142857,0.8884228187919463,0.10671140939597315,Low
Toyota Esquire . 2016,Toyota,Esquire,Automatic,"Octane, LPG",2990000,2016,2000.0,98000,10,9800.0,0.8884228187919463,0.05855704697986577,Medium
Toyota Allion 2013,Toyota,Allion,Automatic,Octane,2288000,2018,1500.0,93000,8,11625.0,0.8884228187919463,0.03120805369127517,Low
Toyota T100 . 1997,Toyota,T100,Automatic,"CNG, Octane",600000,1997,1331.0,75000,29,2586.206896551724,0.8884228187919463,0.00016778523489932885,Low
Toyota Noah . 2002,Toyota,Noah,Automatic,"CNG, Octane",1200000,2002,2000.0,262000,24,10916.666666666666,0.8884228187919463,0.10671140939597315,Low
Toyota Carina TI 1999,Toyota,Carina,Automatic,"Octane, LPG",820000,1999,1500.0,186000,27,6888.888888888889,0.8884228187919463,0.0008389261744966443,Low
Toyota Corolla 1994,Toyota,Corolla,Automatic,"CNG, Octane",430000,1998,1500.0,180000,28,6428.571428571428,0.8884228187919463,0.04848993288590604,Low
Toyota Axio 2007,Toyota,Axio,Automatic,"Petrol, LPG",1300000,2010,1500.0,40000,16,2500.0,0.8884228187919463,0.10939597315436242,Low
Toyota Corolla SE limited 1992,Toyota,Corolla,Automatic,"CNG, Octane",400000,1992,1500.0,70,34,2.0588235294117645,0.8884228187919463,0.04848993288590604,Low
Toyota Noah 2004,Toyota,Noah,Automatic,"Octane, LPG",1300000,2007,2000.0,100000,19,5263.1578947368425,0.8884228187919463,0.10671140939597315,Low
Toyota Corolla 1993,Toyota,Corolla,Automatic,"CNG, Octane",380000,2009,1500.0,250000,17,14705.882352941177,0.8884228187919463,0.04848993288590604,Low
Toyota Raum  2003,Toyota,Raum,Automatic,"Octane, LPG",1080000,2003,1500.0,10,23,0.43478260869565216,0.8884228187919463,0.0015100671140939597,Low
Toyota Corolla X 2004,Toyota,Corolla,Automatic,"CNG, Octane",1020000,2004,1500.0,95000,22,4318.181818181818,0.8884228187919463,0.04848993288590604,Low
"Toyota Noah KR42 NOAH, GL 2005",Toyota,Noah,Automatic,"Petrol, CNG",950000,2005,1800.0,10253,21,488.23809523809524,0.8884228187919463,0.10671140939597315,Low
Toyota Harrier Beige Interior 2005,Toyota,Harrier,Automatic,Octane,2575000,2005,2400.0,140000,21,6666.666666666667,0.8884228187919463,0.03976510067114094,Medium
Toyota Allion A 15 2015,Toyota,Allion,Automatic,Octane,2575000,2015,1500.0,65000,11,5909.090909090909,0.8884228187919463,0.03120805369127517,Medium
Mazda Axela 3 2004,Mazda,Axela,Automatic,"Petrol, CNG, Octane",765000,2004,1500.0,45000,22,2045.4545454545455,0.0025167785234899327,0.001174496644295302,Low
Toyota Allion . 2005,Toyota,Allion,Automatic,"Octane, LPG",1500000,2005,1500.0,105000,21,5000.0,0.8884228187919463,0.03120805369127517,Low
Toyota Allion 2013,Toyota,Allion,Automatic,Octane,2300000,2013,1500.0,88000,13,6769.2307692307695,0.8884228187919463,0.03120805369127517,Low
Toyota Noah Car 2010,Toyota,Noah,Automatic,"CNG, Octane",1890000,2010,2000.0,150000,16,9375.0,0.8884228187919463,0.10671140939597315,Low
Toyota Fielder G edition Push Start 2012,Toyota,Fielder,Automatic,"Octane, LPG",1615000,2012,1500.0,89000,14,6357.142857142857,0.8884228187919463,0.057885906040268456,Low
Toyota Allion A15 2007,Toyota,Allion,Automatic,"CNG, Octane",1950000,2007,1500.0,66000,19,3473.684210526316,0.8884228187919463,0.03120805369127517,Low
Toyota Allion . 2005,Toyota,Allion,Automatic,"CNG, Octane",1550000,2005,1500.0,1000,21,47.61904761904762,0.8884228187919463,0.03120805369127517,Low
Nissan X-Trail . 2016,Nissan,X-Trail,Automatic,"Hybrid, Octane",2250000,2016,2000.0,91656,10,9165.6,0.02365771812080537,0.015436241610738255,Low
Toyota Fielder WXB 2014,Toyota,Fielder,Automatic,"Hybrid, Octane",1620000,2014,1500.0,106813,12,8901.083333333334,0.8884228187919463,0.057885906040268456,Low
Toyota Axio 2013,Toyota,Axio,Automatic,"CNG, Octane",1600000,2018,1500.0,100000,8,12500.0,0.8884228187919463,0.10939597315436242,Low
Toyota Hiace . 2016,Toyota,Hiace,Automatic,CNG,2450000,2016,2000.0,50000,10,5000.0,0.8884228187919463,0.09429530201342282,Medium
Toyota Noah 2013,Toyota,Noah,Automatic,"CNG, Octane",900000,2019,1500.0,158896,7,22699.428571428572,0.8884228187919463,0.10671140939597315,Low
Mitsubishi Pajero V6 1993,Mitsubishi,Pajero,Automatic,Diesel,775000,1993,2470.0,98000,33,2969.6969696969695,0.012583892617449664,0.0041946308724832215,Low
Toyota Prado . 2000,Toyota,Prado,Automatic,Octane,2500000,2000,2690.0,267031,26,10270.423076923076,0.8884228187919463,0.013926174496644295,Medium
Toyota Axio G 2015,Toyota,Axio,Automatic,Octane,2100000,2015,1500.0,48100,11,4372.727272727273,0.8884228187919463,0.10939597315436242,Low
Toyota Axio HYBRID 2014,Toyota,Axio,Automatic,"Hybrid, Octane",1470000,2014,1500.0,70000,12,5833.333333333333,0.8884228187919463,0.10939597315436242,Low
Toyota Axio Corolla 2013,Toyota,Axio,Automatic,"Octane, LPG",1630000,2013,1500.0,105000,13,8076.923076923077,0.8884228187919463,0.10939597315436242,Low
Toyota Corolla 111 1999,Toyota,Corolla,Automatic,"CNG, Octane",640000,1999,1500.0,100000,27,3703.703703703704,0.8884228187919463,0.04848993288590604,Low
Toyota Starlet Soleil 1995,Toyota,Starlet Soleil,Automatic,Octane,450000,1995,1300.0,80000,31,2580.6451612903224,0.8884228187919463,0.00016778523489932885,Low
Toyota Probox . 2008,Toyota,Probox,Automatic,CNG,900000,2008,1500.0,100020,18,5556.666666666667,0.8884228187919463,0.00436241610738255,Low
Toyota Axio G Hybrid 2015,Toyota,Axio,Automatic,Hybrid,1850000,2015,1500.0,167000,11,15181.818181818182,0.8884228187919463,0.10939597315436242,Low
Nissan X-Trail Octane Draive 2017,Nissan,X-Trail,Automatic,Octane,3630000,2017,2000.0,44265,9,4918.333333333333,0.02365771812080537,0.015436241610738255,High
Toyota Fielder 202 2010,Toyota,Fielder,Automatic,Octane,1570000,2010,1500.0,72180,16,4511.25,0.8884228187919463,0.057885906040268456,Low
Toyota Corolla Cross Z LEATHER PANA. ROOF 2023,Toyota,Corolla Cross,Automatic,Hybrid,5020000,2023,1800.0,11000,3,3666.6666666666665,0.8884228187919463,0.07097315436241611,Luxury
Honda Accord OCTANEOVERFRIESH 2006,Honda,Accord,Automatic,Octane,1380000,2006,2400.0,67900,20,3395.0,0.0424496644295302,0.0006711409395973154,Low
Toyota Harrier OCTANEOVERFRIESH 2006,Toyota,Harrier,Automatic,Octane,2630000,2006,2400.0,9099,20,454.95,0.8884228187919463,0.03976510067114094,Medium
Toyota Harrier Z LEATHER OCTEN DRI. 2020,Toyota,Harrier,Automatic,Petrol,7850000,2020,2000.0,46000,6,7666.666666666667,0.8884228187919463,0.03976510067114094,Luxury
Toyota Noah Non hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane",3500000,2020,2000.0,68351,6,11391.833333333334,0.8884228187919463,0.10671140939597315,High
Toyota Hiace GL 2020,Toyota,Hiace,Automatic,Octane,3610000,2020,2000.0,65000,6,10833.333333333334,0.8884228187919463,0.09429530201342282,High
Toyota Corolla Cross HYBRID Z LEATHER 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane",4580000,2022,1800.0,9500,4,2375.0,0.8884228187919463,0.07097315436241611,Luxury
Toyota Corolla Hybrid G-X 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane",2900000,2020,1800.0,77000,6,12833.333333333334,0.8884228187919463,0.04848993288590604,Medium
Toyota Premio F 2020,Toyota,Premio,Automatic,Octane,4150000,2020,1490.0,86700,6,14450.0,0.8884228187919463,0.05285234899328859,High
Suzuki Vitara JLX 4WD 1996,Suzuki,Vitara,Manual,"Petrol, CNG, Octane",550000,1996,1600.0,72000,30,2400.0,0.002348993288590604,0.0003355704697986577,Low
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Hybrid, Octane",2950000,2020,1490.0,45900,6,7650.0,0.8884228187919463,0.10939597315436242,Medium
Toyota Starlet owner first 1992,Toyota,Starlet,Automatic,"CNG, Octane",480000,1992,1331.0,86598,34,2547.0,0.8884228187919463,0.0050335570469798654,Low
Toyota Premio F FL pakage 2018,Toyota,Premio,Automatic,Octane,3399000,2018,1500.0,96000,8,12000.0,0.8884228187919463,0.05285234899328859,High
Toyota Prado Tx-L 7Seat Sunroof 2017,Toyota,Prado,Automatic,"Petrol, Octane",8900000,2017,2700.0,54000,9,6000.0,0.8884228187919463,0.013926174496644295,Luxury
